,place_name,place_id,lat,lng,type
0,bio plant - pupuk sawit super,ChIJzcXMLMVO1DERY3dr6iu0UPg,0.6913571999999999,101.6020314,airport
1,Travel Zhamela,ChIJRwv-J7yu1TERemaJZgv7sfM,0.5014370000000001,101.453075,airport
2,GEDUNG VIP LANCANG KUNING BANDAR UDARA SSK II PEKANBARU,ChIJfyEI-Tqv1TERnRNQ2axGc5E,0.4669026,101.4475801,airport
3,Bandara Internasional SSK II Pekanbaru,ChIJDYL1Kzqv1TER0XfHoqGdrRU,0.464691,101.4478337,airport
4,Bandara sultan syarif kasimII,ChIJmVfyaNGv1TERkw2jndzdL-s,0.4645874,101.4477217,airport
5,Bandar Udara Internasional Syarif Kasim II Pekanbaru,ChIJQakSBOev1TERLG6Pg9un_R8,0.4645344,101.4483296,airport
6,Sultan Syarif Kasim II International Airport,ChIJxwFScDmv1TERljqI_TQ4_JM,0.4644616,101.4481556,airport
7,Ruang Check Inn Batim Air,ChIJW2ouYDmv1TERh6SUu0fOkh0,0.4643697999999999,101.4493807,airport
8,Lapangan Helikopter,ChIJc_t7Uq6p1TERqAiao55BL1Q,0.4631374,101.3851277,airport
9,Helipad PT.Ikpp,ChIJbxRkBE5J1DERpGa85gIf1_U,0.6730556999999999,101.6219724,airport
10,Helli Path,ChIJJxX40Uda1DERVI6OufaPWXY,0.7656761000000001,101.4591097,airport
11,Lapter Rama Rama Estate,ChIJuewg3lce1TERtbGJeF-F5cY,0.5533927,101.035818,airport
12,ATM CIMB NIAGA (Hotel Angkasa Garden Pekanbaru),ChIJW4W1Gg2s1TERgE-hYauCA5w,0.535969,101.4516663,bank
13,Bank Bri Unit Sail,ChIJ8bdCtjys1TERv84y4lhC0v8,0.5249035000000001,101.4610196,bank
14,Bank Mandiri,ChIJmyXYaBus1TERjV6ssTT8IRA,0.5195394999999999,101.444251,bank
15,Bank Danamon Pekanbaru - Simpang Pasar Bawah,ChIJf-XeYQ2s1TERV0lMbulRGtA,0.5365985999999999,101.4433547,bank
16,Danamon KC WAHID HASYIM,ChIJEyqnQRKs1TERya0An_4EkhI,0.5272717,101.4481716,bank
