place_name,place_id,lat,lng,type,monday,tuesday,wednesday,thursday,friday,saturday,sunday
Bandara Internasional SSK II Pekanbaru,ChIJDYL1Kzqv1TER0XfHoqGdrRU,0.464691,101.4478337,airport,"[0, 0, 2, 6, 11, 26, 38, 41, 40, 45, 55, 61, 61, 56, 50, 46, 41, 36, 30, 23, 15, 9, 4, 0]","[0, 0, 0, 0, 7, 16, 28, 39, 47, 52, 56, 59, 60, 58, 53, 44, 36, 29, 24, 19, 15, 10, 5, 0]","[0, 0, 0, 0, 11, 19, 29, 40, 49, 55, 58, 58, 57, 55, 52, 48, 43, 35, 28, 21, 15, 9, 5, 1]","[0, 0, 0, 4, 15, 25, 36, 46, 54, 59, 60, 61, 61, 61, 58, 50, 41, 32, 26, 20, 14, 8, 3, 0]","[0, 0, 2, 7, 10, 18, 28, 38, 48, 55, 59, 59, 58, 57, 59, 63, 64, 58, 44, 27, 12, 11, 27, 0]","[0, 0, 0, 4, 11, 20, 29, 39, 49, 56, 63, 70, 75, 76, 70, 58, 44, 32, 24, 18, 12, 7, 2, 0]","[0, 0, 1, 5, 13, 21, 32, 42, 51, 58, 63, 70, 81, 93, 100, 94, 80, 64, 50, 40, 29, 19, 10, 3]"
Bandar Udara Internasional Syarif Kasim II Pekanbaru,ChIJQakSBOev1TERLG6Pg9un_R8,0.4645344,101.4483296,airport,"[7, 6, 7, 10, 19, 28, 40, 53, 65, 76, 84, 88, 89, 86, 81, 75, 68, 59, 50, 40, 30, 21, 14, 9]","[6, 6, 7, 12, 16, 25, 36, 50, 63, 74, 82, 87, 88, 87, 83, 75, 65, 53, 43, 34, 26, 20, 15, 10]","[7, 6, 6, 10, 17, 26, 37, 50, 62, 73, 82, 86, 88, 86, 82, 77, 69, 61, 51, 41, 31, 23, 15, 10]","[7, 6, 7, 11, 20, 30, 42, 55, 68, 78, 84, 88, 90, 89, 86, 79, 69, 59, 48, 39, 30, 21, 14, 9]","[6, 5, 7, 12, 19, 28, 39, 51, 63, 72, 79, 84, 87, 90, 93, 92, 86, 73, 57, 41, 30, 23, 17, 11]","[7, 6, 8, 12, 16, 25, 36, 48, 59, 70, 78, 85, 89, 90, 85, 76, 65, 53, 44, 36, 28, 21, 15, 10]","[7, 6, 7, 10, 16, 24, 34, 44, 54, 62, 69, 75, 84, 93, 100, 98, 89, 75, 60, 47, 37, 27, 18, 12]"
Sultan Syarif Kasim II International Airport,ChIJxwFScDmv1TERljqI_TQ4_JM,0.4644616,101.4481556,airport,"[7, 6, 7, 10, 19, 28, 40, 53, 65, 76, 84, 88, 89, 86, 81, 75, 68, 59, 50, 40, 30, 21, 14, 9]","[6, 6, 7, 12, 16, 25, 36, 50, 63, 74, 82, 87, 88, 87, 83, 75, 65, 53, 43, 34, 26, 20, 15, 10]","[7, 6, 6, 10, 17, 26, 37, 50, 62, 73, 82, 86, 88, 86, 82, 77, 69, 61, 51, 41, 31, 23, 15, 10]","[7, 6, 7, 11, 20, 30, 42, 55, 68, 78, 84, 88, 90, 89, 86, 79, 69, 59, 48, 39, 30, 21, 14, 9]","[6, 5, 7, 12, 19, 28, 39, 51, 63, 72, 79, 84, 87, 90, 93, 92, 86, 73, 57, 41, 30, 23, 17, 11]","[7, 6, 8, 12, 16, 25, 36, 48, 59, 70, 78, 85, 89, 90, 85, 76, 65, 53, 44, 36, 28, 21, 15, 10]","[7, 6, 7, 10, 16, 24, 34, 44, 54, 62, 69, 75, 84, 93, 100, 98, 89, 75, 60, 47, 37, 27, 18, 12]"
Bank Danamon Pekanbaru - Simpang Pasar Bawah,ChIJf-XeYQ2s1TERV0lMbulRGtA,0.5365985999999999,101.4433547,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 52, 52, 52, 70, 82, 88, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 64, 88, 88, 70, 64, 64, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 64, 64, 64, 70, 58, 41, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 70, 94, 100, 94, 76, 58, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 52, 88, 76, 47, 47, 70, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Danamon KC WAHID HASYIM,ChIJEyqnQRKs1TERya0An_4EkhI,0.5272717,101.4481716,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 52, 79, 84, 69, 56, 53, 57, 57, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 46, 75, 85, 70, 52, 46, 53, 57, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 40, 68, 77, 64, 50, 49, 55, 57, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 41, 72, 80, 60, 40, 39, 50, 57, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 54, 95, 100, 67, 41, 42, 57, 67, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Mandiri KCP Pekanbaru Ahmad Yani,ChIJo_t6Ww6s1TER_mgpi_PrG90,0.5195924,101.44427009999998,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 57, 77, 85, 79, 73, 67, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 75, 89, 83, 75, 71, 73, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 71, 63, 69, 71, 69, 73, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 100, 75, 79, 87, 77, 61, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 83, 91, 73, 46, 38, 48, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Mandiri Pekanbaru Jalan Riau,ChIJL-gB6Yqr1TERJ5YF0ui5ja8,0.5351117,101.4377074,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 52, 82, 80, 71, 71, 68, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 53, 86, 65, 59, 66, 63, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 46, 85, 82, 58, 55, 62, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 52, 79, 62, 43, 59, 70, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 40, 85, 100, 68, 50, 67, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Bank BNI Syariah KCP Panam,ChIJSfptz_Oo1TERYlFeYarvQBY,0.4639601,101.3972177,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 65, 95, 96, 75, 70, 87, 86, 57, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 57, 83, 89, 74, 59, 65, 75, 57, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 61, 100, 96, 60, 44, 71, 94, 70, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 54, 82, 83, 60, 45, 59, 73, 54, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 31, 57, 71, 62, 41, 27, 52, 80, 34, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Bank Syariah Mandiri KCP Pekanbaru Sudirman Bawah,ChIJn46FShKs1TER6f57XUZCj3o,0.5304854,101.4478082,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 77, 100, 80, 46, 37, 51, 54, 40, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 71, 75, 50, 36, 49, 61, 53, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 42, 51, 51, 45, 40, 38, 38, 36, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 66, 92, 66, 35, 35, 50, 62, 61, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 59, 81, 75, 49, 36, 45, 55, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Bank Mandiri - KCP Pekanbaru Panam,ChIJNVYGCUSo1TER8Iyg616RTp4,0.4637891,101.4097403,bank,"[0, 0, 0, 0, 0, 0, 0, 36, 63, 86, 100, 97, 91, 82, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 28, 52, 76, 91, 91, 76, 76, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 39, 56, 71, 76, 71, 78, 80, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 39, 65, 89, 95, 86, 69, 54, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 34, 63, 86, 93, 89, 84, 82, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
