,place_name,place_id,lat,lng,type,monday,tuesday,wednesday,thursday,friday,saturday,sunday
0,bio plant - pupuk sawit super,ChIJzcXMLMVO1DERY3dr6iu0UPg,0.6913571999999999,101.6020314,airport,,,,,,,
1,Travel Zhamela,ChIJRwv-J7yu1TERemaJZgv7sfM,0.5014370000000001,101.453075,airport,,,,,,,
2,GEDUNG VIP LANCANG KUNING BANDAR UDARA SSK II PEKANBARU,ChIJfyEI-Tqv1TERnRNQ2axGc5E,0.4669026,101.4475801,airport,,,,,,,
3,Bandara Internasional SSK II Pekanbaru,ChIJDYL1Kzqv1TER0XfHoqGdrRU,0.46469099999999997,101.4478337,airport,"[0, 0, 2, 6, 11, 26, 38, 41, 40, 45, 55, 61, 61, 56, 50, 46, 41, 36, 30, 23, 15, 9, 4, 0]","[0, 0, 0, 0, 7, 16, 28, 39, 47, 52, 56, 59, 60, 58, 53, 44, 36, 29, 24, 19, 15, 10, 5, 0]","[0, 0, 0, 0, 11, 19, 29, 40, 49, 55, 58, 58, 57, 55, 52, 48, 43, 35, 28, 21, 15, 9, 5, 1]","[0, 0, 0, 4, 15, 25, 36, 46, 54, 59, 60, 61, 61, 61, 58, 50, 41, 32, 26, 20, 14, 8, 3, 0]","[0, 0, 2, 7, 10, 18, 28, 38, 48, 55, 59, 59, 58, 57, 59, 63, 64, 58, 44, 27, 12, 11, 27, 0]","[0, 0, 0, 4, 11, 20, 29, 39, 49, 56, 63, 70, 75, 76, 70, 58, 44, 32, 24, 18, 12, 7, 2, 0]","[0, 0, 1, 5, 13, 21, 32, 42, 51, 58, 63, 70, 81, 93, 100, 94, 80, 64, 50, 40, 29, 19, 10, 3]"
4,Bandara sultan syarif kasimII,ChIJmVfyaNGv1TERkw2jndzdL-s,0.4645874,101.4477217,airport,,,,,,,
5,Bandar Udara Internasional Syarif Kasim II Pekanbaru,ChIJQakSBOev1TERLG6Pg9un_R8,0.4645344,101.4483296,airport,"[7, 6, 7, 10, 19, 28, 40, 53, 65, 76, 84, 88, 89, 86, 81, 75, 68, 59, 50, 40, 30, 21, 14, 9]","[6, 6, 7, 12, 16, 25, 36, 50, 63, 74, 82, 87, 88, 87, 83, 75, 65, 53, 43, 34, 26, 20, 15, 10]","[7, 6, 6, 10, 17, 26, 37, 50, 62, 73, 82, 86, 88, 86, 82, 77, 69, 61, 51, 41, 31, 23, 15, 10]","[7, 6, 7, 11, 20, 30, 42, 55, 68, 78, 84, 88, 90, 89, 86, 79, 69, 59, 48, 39, 30, 21, 14, 9]","[6, 5, 7, 12, 19, 28, 39, 51, 63, 72, 79, 84, 87, 90, 93, 92, 86, 73, 57, 41, 30, 23, 17, 11]","[7, 6, 8, 12, 16, 25, 36, 48, 59, 70, 78, 85, 89, 90, 85, 76, 65, 53, 44, 36, 28, 21, 15, 10]","[7, 6, 7, 10, 16, 24, 34, 44, 54, 62, 69, 75, 84, 93, 100, 98, 89, 75, 60, 47, 37, 27, 18, 12]"
6,Sultan Syarif Kasim II International Airport,ChIJxwFScDmv1TERljqI_TQ4_JM,0.4644616,101.44815559999999,airport,"[7, 6, 7, 10, 19, 28, 40, 53, 65, 76, 84, 88, 89, 86, 81, 75, 68, 59, 50, 40, 30, 21, 14, 9]","[6, 6, 7, 12, 16, 25, 36, 50, 63, 74, 82, 87, 88, 87, 83, 75, 65, 53, 43, 34, 26, 20, 15, 10]","[7, 6, 6, 10, 17, 26, 37, 50, 62, 73, 82, 86, 88, 86, 82, 77, 69, 61, 51, 41, 31, 23, 15, 10]","[7, 6, 7, 11, 20, 30, 42, 55, 68, 78, 84, 88, 90, 89, 86, 79, 69, 59, 48, 39, 30, 21, 14, 9]","[6, 5, 7, 12, 19, 28, 39, 51, 63, 72, 79, 84, 87, 90, 93, 92, 86, 73, 57, 41, 30, 23, 17, 11]","[7, 6, 8, 12, 16, 25, 36, 48, 59, 70, 78, 85, 89, 90, 85, 76, 65, 53, 44, 36, 28, 21, 15, 10]","[7, 6, 7, 10, 16, 24, 34, 44, 54, 62, 69, 75, 84, 93, 100, 98, 89, 75, 60, 47, 37, 27, 18, 12]"
7,Ruang Check Inn Batim Air,ChIJW2ouYDmv1TERh6SUu0fOkh0,0.4643697999999999,101.4493807,airport,,,,,,,
8,Lapangan Helikopter,ChIJc_t7Uq6p1TERqAiao55BL1Q,0.4631374,101.3851277,airport,,,,,,,
9,Helipad PT.Ikpp,ChIJbxRkBE5J1DERpGa85gIf1_U,0.6730556999999999,101.6219724,airport,,,,,,,
